1150	0.7839588
1151	0.7858698
1152	0.7877594
1153	0.7896281
1154	0.7914765
1155	0.7933058
1156	0.7951163
1157	0.7969089
1158	0.7986839
1159	0.8004427
1160	0.8021856
1161	0.8039133
1162	0.8056262
1163	0.8073255
1164	0.8090116
1165	0.8106851
1166	0.8123467
1167	0.8139971
1168	0.815637
1169	0.8172669
1170	0.8188874
1171	0.8204993
1172	0.8221032
1173	0.8236997
1174	0.8252892
1175	0.8268727
1176	0.8284506
1177	0.8300236
1178	0.831592
1179	0.8331569
1180	0.8347185
1181	0.8359411
1182	0.8371383
1183	0.8383331
1184	0.8395257
1185	0.8407165
1186	0.8419056
1187	0.8430936
1188	0.8442808
1189	0.8454675
1190	0.8466538
1191	0.8478402
1192	0.849027
1193	0.8502146
1194	0.8514031
1195	0.852593
1196	0.8537847
1197	0.8549783
1198	0.856174
1199	0.8573724
1200	0.8585736
1201	0.8593546
1202	0.8601358
1203	0.8609174
1204	0.8616997
1205	0.8624828
1206	0.8632668
1207	0.8640518
1208	0.8648379
1209	0.8656254
1210	0.8664145
1211	0.8672051
1212	0.8679978
1213	0.8687922
1214	0.8695888
1215	0.8703877
1216	0.8711889
1217	0.8719966
1218	0.8728073
1219	0.8736206
1220	0.8744371
1221	0.8745003
1222	0.874562
1223	0.8746225
1224	0.8746814
1225	0.8747388
1226	0.874795
1227	0.87485
1228	0.8749035
1229	0.874956
1230	0.8750072
1231	0.8750572
1232	0.8751059
1233	0.8751537
1234	0.8752002
1235	0.8752457
1236	0.8752902
1237	0.8753336
1238	0.8753762
1239	0.8754176
1240	0.8754582
1241	0.8754926
1242	0.8755262
1243	0.875559
1244	0.8755909
1245	0.875622
1246	0.8756524
1247	0.8756821
1248	0.8757111
1249	0.8757394
1250	0.8757671
1251	0.8756546
1252	0.8755413
1253	0.8754267
1254	0.8753113
1255	0.8751948
1256	0.8750773
1257	0.874959
1258	0.8748397
1259	0.8747193
1260	0.8745981
1261	0.874476
1262	0.8743528
1263	0.8742289
1264	0.874104
1265	0.8739781
1266	0.8738514
1267	0.8737238
1268	0.8735954
1269	0.8734662
1270	0.873336
1271	0.8732049
1272	0.8730732
1273	0.8729405
1274	0.872807
1275	0.8726727
1276	0.8725377
1277	0.8724017
1278	0.872265
1279	0.8721277
1280	0.8719895
1281	0.8718505
1282	0.8717108
1283	0.8715703
1284	0.871429
1285	0.8712873
1286	0.8711447
1287	0.8710012
1288	0.8708572
1289	0.8707126
1290	0.8705672
1291	0.8704212
1292	0.8702744
1293	0.870127
1294	0.8699789
1295	0.8698303
1296	0.8696809
1297	0.869531
1298	0.8693804
1299	0.8692293
1300	0.8690775
1301	0.8689501
1302	0.8688221
1303	0.8686938
1304	0.868565
1305	0.8684357
1306	0.8683041
1307	0.8681721
1308	0.8680396
1309	0.8679068
1310	0.8677735
1311	0.8676398
1312	0.8675057
1313	0.8673713
1314	0.8672365
1315	0.8671013
1316	0.8669658
1317	0.8668298
1318	0.8666935
1319	0.8665569
1320	0.86642
1321	0.8662826
1322	0.8661449
1323	0.8660069
1324	0.8658686
1325	0.86573
1326	0.8655909
1327	0.8654517
1328	0.8653121
1329	0.8651722
1330	0.865032
1331	0.8648915
1332	0.8647507
1333	0.8646097
1334	0.8644684
1335	0.8643268
1336	0.8641849
1337	0.8640429
1338	0.8639005
1339	0.8637578
1340	0.863615
1341	0.8634717
1342	0.8633286
1343	0.863185
1344	0.8630412
1345	0.8628973
1346	0.862753
1347	0.8626086
1348	0.8624639
1349	0.8623192
1350	0.8621741
1351	0.862029
1352	0.8618836
1353	0.8617379
1354	0.8615924
1355	0.8614464
1356	0.8613005
1357	0.8611542
1358	0.8610079
1359	0.8608614
1360	0.8607148
1361	0.8605681
1362	0.8604211
1363	0.8602742
1364	0.8601272
1365	0.85998
1366	0.8598325
1367	0.8596851
1368	0.8595376
1369	0.85939
1370	0.8592424
1371	0.8590946
1372	0.8589468
1373	0.8587988
1374	0.858651
1375	0.8585029
1376	0.8583549
1377	0.8582067
1378	0.8580586
1379	0.8578914
1380	0.8577244
1381	0.8575572
1382	0.8573899
1383	0.8572227
1384	0.8570555
1385	0.8568884
1386	0.8567212
1387	0.856554
1388	0.8563868
1389	0.8562196
1390	0.8560525
1391	0.8558855
1392	0.8557185
1393	0.8555515
1394	0.8553845
1395	0.8552176
1396	0.8550508
1397	0.854884
1398	0.8547175
1399	0.8545509
1400	0.8543844
1401	0.8542489
1402	0.8541133
1403	0.8539777
1404	0.8538425
1405	0.8537073
1406	0.8535721
1407	0.853437
1408	0.853302
1409	0.8531672
1410	0.8530325
1411	0.8528981
1412	0.8527636
1413	0.8526293
1414	0.8524951
1415	0.8523611
1416	0.8522273
1417	0.8520936
1418	0.8519405
1419	0.8517877
1420	0.851635
1421	0.8514825
1422	0.8513302
1423	0.8511784
1424	0.8510265
1425	0.8508749
1426	0.8507236
1427	0.8505725
1428	0.8504216
1429	0.850271
1430	0.8501207
1431	0.8499708
1432	0.849821
1433	0.8496716
1434	0.8495224
1435	0.8493735
1436	0.849225
1437	0.8490767
1438	0.8489287
1439	0.8487812
1440	0.8486338
1441	0.8484869
1442	0.8483403
1443	0.8481941
1444	0.8480481
1445	0.8479026
1446	0.8477575
1447	0.8476127
1448	0.8474683
1449	0.8473243
1450	0.8471806
1451	0.8470374
1452	0.8468946
1453	0.8467523
1454	0.8466102
1455	0.8464687
1456	0.8463276
1457	0.8461869
1458	0.8460467
1459	0.8459069
1460	0.8457646
1461	0.8456227
1462	0.8454811
1463	0.84534
1464	0.8451993
1465	0.845059
1466	0.8449192
1467	0.8447796
1468	0.8446406
1469	0.8445022
1470	0.844364
1471	0.8442264
